Q1 Predictions Min,Epoch,AverageReturn,Q2 Predictions Std,image_success Mean,Exploration Returns Mean,Test Returns Max,Q1 Predictions Max,Number of rollouts total,Final vae_dist Mean,Test Returns Min,Policy Action Min,Bellman Errors 1 Std,QF2 Loss,Exploration Returns Max,Q1 Predictions Std,Final image_dist Mean,Final image_dist Max,Final image_success Min,Policy Action Mean,Final vae_dist Std,(Previous) Eval Time (s),Q1 Predictions Mean,Final image_dist Std,image_dist Mean,Q Targets Min,distance_to_target Max,QF1 Loss,vae_dist Mean,Exploration Rewards Min,Q Targets Mean,distance_to_target Mean,Q2 Predictions Min,Total Train Time (s),vae_dist Std,Bellman Errors 2 Min,Q2 Predictions Mean,Test Actions Mean,Test Rewards Max,Train Time (s),Bellman Errors 1 Max,image_success Max,Number of env steps total,Exploration Actions Mean,Bellman Errors 2 Mean,Exploration Rewards Mean,distance_to_target Min,distance_to_target Std,Epoch Time (s),Bellman Errors 1 Min,Final distance_to_target Min,Exploration Actions Min,image_dist Std,Q Targets Std,Exploration Returns Min,image_success Min,Exploration Rewards Std,Policy Action Max,vae_dist Max,Test Rewards Mean,image_success Std,Test Actions Max,Test Rewards Min,Exploration Returns Std,vae_dist Min,Final vae_dist Max,Bellman Errors 1 Mean,Final vae_dist Min,Test Returns Std,Q Targets Max,image_dist Min,Exploration Rewards Max,Policy Loss,Number of train steps total,Final image_success Std,Final distance_to_target Mean,Num Paths,Test Rewards Std,Exploration Actions Std,Final distance_to_target Std,Test Returns Mean,Q2 Predictions Max,Final distance_to_target Max,Final image_dist Min,Test Actions Min,Sample Time (s),Exploration Actions Max,Test Actions Std,Bellman Errors 2 Std,Final image_success Max,Final image_success Mean,Policy Action Std,Bellman Errors 2 Max,image_dist Max
-0.007611313,3,-311.07492,0.0011832701,-1.0,-278.09636525677087,-218.26283,-0.0024183348,40,3.4625046,-382.44006,-0.0034814605,5.1100063,5.909055,-177.01099339962758,0.000992476,27.475083375549513,27.964262908219126,-1.0,0.0012777349,0.7469838,0.04718287399919063,-0.0054211766,0.8695729658668865,29.754136907489503,-4.527856,7.491078427298185,5.912401,3.1107483,-6.012498214410258,-2.1715205,4.382956159766763,-0.00981369,89.26505201090367,0.8713728,4.8146187e-08,-0.0060757305,0.08198036,-0.45844883,0.17837022698222427,20.448175,-1.0,4000,-0.03717093158463078,5.9090557,-2.7809636525677095,0.2889147406199332,1.8592536547864609,8.476032320004379,2.1654737e-08,2.9006390448344614,-1.0,3.1534210253466166,1.1045189,-438.6053106621317,-1.0,1.0828342229764962,0.0075483206,4.6325817,-3.1107483,0.0,0.08851672,-4.6325817,76.43635248535779,0.45844886,4.488355,5.9124017,2.2702618,60.324467,-0.006854201,14.696938456699069,-0.5032101584665747,0.053836048,4,0.0,5.403579830062469,10,0.8713728,0.37792926112894953,1.5257035363656581,-311.07492,-0.0034605437,7.491078427298185,24.979991993593593,0.0752271,8.250479219022964,1.0,0.0037595055,5.1082907,-1.0,-1.0,0.002122887,20.463224,34.40930106817051
-0.2856441,4,-154.93527,0.012721112,-0.9545454545454546,-279.98837828824446,-18.741236,-0.23332216,50,1.4826558,-309.69318,0.07566059,6.793984,8.001875,-161.57325247476103,0.010030219,22.737966713108342,34.40930106817051,-1.0,0.08171421,1.149666,8.658488021999801,-0.25623274,8.360260801115476,24.53824586192952,-5.678915,5.990297970782939,8.085936,1.549353,-4.506957552136085,-2.7919083,1.7569747485945093,-0.309153,259.35892423289624,1.0551229,0.0056791925,-0.27291572,-0.08247847,-0.08584786,154.4666941360265,29.293447,0.0,5000,-0.5723147517514672,8.001874,-2.7998837828824463,0.11320075410632574,1.6056934628246513,172.20848191899495,0.009092384,0.1663535816780239,-1.0,8.604646684492824,1.286738,-431.815264024535,-1.0,0.8238346568128935,0.091174275,4.8500147,-1.549353,0.20829889522526548,1.0,-4.850015,78.71616042917225,0.08584786,3.5753574,8.0859375,0.08584786,96.54367,-0.0077943895,8.717797887081348,-1.0232172093752139,0.35848272,4004,0.28747978728803447,1.6193548293878992,10,1.0551229,0.5568360520153608,1.6248135147046951,-154.93527,-0.24625061,5.579249314871428,8.717797887081348,-0.99999994,9.083299760968657,1.0,0.67071575,6.7521086,0.0,-0.9090909090909091,0.0035278967,29.222178,34.40930106817051
-60.773632,5,-129.06947,13.381017,-0.98,-147.64363134906094,-21.450354,-2.3602338,60,1.2397968,-202.27072,-1.0,6.95911,2.495796,-80.20534480544482,13.280501,26.325227237274063,34.40930106817051,-1.0,-0.14925243,0.6133519,6.532111673001054,-28.942545,7.165615623902813,26.773914048174852,-61.665188,7.182261779827381,2.7331276,1.2906947,-4.503331661224365,-29.1438,1.997215685971438,-60.403214,418.032903981888,0.62654644,1.7511906e-05,-29.090343,-0.012897037,-0.05002904,143.78840443602348,58.710552,0.0,6000,-0.07469126082945914,2.4957962,-1.476436313490609,0.06760506787072697,1.9983526618285408,158.51581299399004,4.464167e-05,0.15230308039728288,-1.0,7.561341823863609,13.568203,-224.85117919774777,-1.0,0.5983573394455385,1.0,4.158142,-1.2906947,0.13999999999999999,1.0,-4.158142,38.940998274686365,0.05002904,2.2197704,2.7331276,0.20980318,52.86521,-2.2156203,8.94427190999916,-0.0,27.299147,8004,0.0,1.9715878662823014,10,0.6265464,0.5187011771882271,2.0519968014266987,-129.06947,-2.5615277,6.800776929733203,12.649110640673518,-1.0,8.1952968849655,1.0,0.4861089,6.2621374,-1.0,-1.0,0.7570025,54.90957,34.40930106817051
-88.45816,6,-64.95496,17.312744,-0.9845454545454545,-114.80497788904833,-29.01006,-2.7720754,70,0.73283404,-110.161064,-1.0,2.324325,1.1226695,-56.42489903660557,17.280325,21.775790405237096,34.40930106817051,-1.0,0.005970642,0.48162445,6.7091277449999325,-37.172714,8.289996570341566,21.307994909108555,-86.79709,5.339698539500274,1.2364641,0.64954966,-3.2370931949894266,-37.21959,1.1322156568311412,-88.919624,577.5296201138808,0.43204728,5.1980896e-07,-37.10344,0.005659257,-0.0,143.33092005799153,14.957322,0.0,7000,-0.05201154787992941,1.1226695,-1.1480497788904833,0.013918115031822036,1.3539036630625632,158.06785796599252,0.00023050816,0.2295269926363632,-1.0,8.475327199301638,17.178316,-173.15081277299362,-1.0,0.5703483163760236,1.0,3.542894,-0.64954966,0.12335194558392196,1.0,-3.542894,32.53032870099815,0.0,1.9643003,1.236464,0.1621775,29.963066,-2.2255504,0.0,-0.09309350699186325,35.47569,12004,0.0,1.195527012879447,10,0.43204728,0.4335164480509484,1.4084876341682557,-64.95496,-2.309199,4.152446619584955,11.135528725660043,-0.9999997,8.02781016300105,1.0,0.297424,2.0564415,-1.0,-1.0,0.8121936,11.357305,34.40930106817051
-91.28291,7,-104.83281,20.209066,-0.9227272727272727,-133.75867258813858,-24.907951,-3.192241,80,1.1454579,-205.10733,-1.0,3.6201677,1.8991542,-91.02767052120916,20.081707,22.36221897023804,33.406586176980134,-1.0,-0.109551996,0.5482513,8.132777679000355,-41.2979,6.936352132709547,21.513674306043395,-89.46213,5.189999340090702,2.156234,1.0483278,-3.87050112785938,-40.586056,0.7862762127899706,-90.97292,733.7217591049102,0.63058984,1.7559829e-05,-41.20424,-0.040567018,-0.0,139.47486726002353,30.338268,0.0,8000,0.002156042272118892,1.8991542,-1.337586725881386,0.07235820869182408,0.5775054070785313,155.7156477100325,7.152396e-05,0.10844276454401404,-1.0,7.725636169088249,19.983374,-184.3353711113672,-1.0,0.5406077197273316,1.0,4.323626,-1.0483278,0.2670236935040821,1.0,-4.323626,31.430904904215794,0.0,2.1713948,2.1562343,0.19764501,47.845913,-2.6675832,0.0,-0.13160420954227448,39.0417,16004,0.28747978728803447,0.8059541562113953,10,0.63058984,0.463563768022535,0.4913149678872212,-104.83281,-2.999782,1.6425108586755937,8.94427190999916,-1.0,8.108002771008614,1.0,0.52611256,3.7035115,0.0,-0.9090909090909091,0.8148923,31.511068,34.40930106817051
-127.91623,8,-63.458324,22.291435,-0.8536363636363636,-125.78590346855017,-19.308142,-2.8511436,90,0.62385267,-127.266304,-1.0,3.2585726,1.6578281,-83.79493585071803,22.180096,16.79839915495774,31.622776601683793,-1.0,-0.08342391,0.45590055,8.611347500998818,-50.678566,6.848700235929752,16.860120827450547,-131.12003,4.948974225192723,1.7681994,0.6345833,-4.269245871502941,-50.76701,0.47863044759693046,-128.31216,896.0455122379244,0.5106609,6.948263e-06,-50.78444,-0.00012484485,-0.0,146.3239055320173,25.949087,0.0,9000,-0.037500703756445236,1.6578279,-1.2578590346855014,0.02858839094031987,0.49315135801773335,163.64387863301272,0.000495792,0.14584714327126447,-1.0,7.459829284675052,22.71775,-154.82322354325854,-1.0,0.5658225075211175,1.0,4.1890054,-0.6345833,0.3534703980732327,1.0,-4.1890054,22.87171595268651,0.0,1.6092632,1.7681992,0.12700424,39.069077,-2.657439,0.0,-0.1553993821144104,48.630856,20004,0.28747978728803447,0.4568503297954234,10,0.5106609,0.45805870285576467,0.3720634158254981,-63.458324,-2.7188358,1.3233062898932457,8.94427190999916,-1.0,8.708625599996594,1.0,0.3931359,3.8168602,0.0,-0.9090909090909091,0.82825524,36.004944,34.40930106817051
-131.19836,9,-77.27499,24.005249,-0.9227272727272727,-147.6489636014681,-25.653894,-2.6241152,100,0.75625646,-150.46895,-1.0,6.4840546,1.9312934,-92.33971790969372,24.215277,21.033442877206518,34.40930106817051,-1.0,-0.096857056,0.4684773,7.281123755999943,-56.369392,6.859214691627297,20.67290493844865,-132.51686,6.776478312349884,1.9974866,0.7727499,-4.729009799879138,-56.437134,0.694253075128045,-132.24078,1053.9034392489357,0.55451256,0.0013413839,-56.444107,0.0028394295,-0.0,142.12429585902282,71.22939,0.0,10000,-0.005476117497963275,1.9312934,-1.4764896360146809,0.034579632583296584,0.5956438651602483,157.60560249901027,8.942794e-05,0.13258920036228986,-1.0,7.194322353991253,24.209003,-279.0548421204088,-1.0,0.6220960134187474,1.0,4.468454,-0.7727499,0.2670236935040821,1.0,-4.4684534,52.122984650547956,0.0,1.5506803,1.9974868,0.0907224,44.705658,-3.0957117,0.0,-0.06207462400197983,54.18706,24004,0.28747978728803447,0.6745271337069116,10,0.55451256,0.46253882174302097,0.44969888081103054,-77.27499,-3.165633,1.7623813620820665,8.94427190999916,-1.0,8.200182883987509,1.0,0.20646709,6.6049867,0.0,-0.9090909090909091,0.7855047,60.15158,34.40930106817051
-125.74641,10,-65.865616,25.765442,-0.9263636363636364,-105.20938886336141,-31.13237,-2.8856268,110,0.58903027,-144.53429,-1.0,4.0705237,1.8013579,-54.36597575992346,25.897219,17.3377085536213,30.199337741083,-1.0,-0.057170212,0.33480915,7.542920587000481,-62.43401,6.160301669166962,17.687253586126264,-124.97584,5.582797320116385,1.9410958,0.6586561,-3.732007957402227,-62.246338,0.5641902707661316,-124.73024,1222.2446460708888,0.5290486,9.182468e-05,-62.528423,0.0028966141,-0.0,151.08915522697498,26.262262,0.0,11000,-0.004742213870645962,1.801358,-1.0520938886336142,0.012727093407598575,0.6633988763870869,167.61967591395296,0.00029386647,0.07462523940304193,-1.0,7.73852033296418,25.825304,-168.83277900457068,-1.0,0.5114890553687724,1.0,4.0994053,-0.6586561,0.26117819508292967,1.0,-4.0994053,30.72237023480374,0.0,1.3200845,1.9410962,0.18770246,33.899883,-2.8225472,0.0,-0.0,60.246597,28004,0.0,0.45373175611301125,10,0.5290486,0.4544023663154092,0.34981538369866105,-65.865616,-3.3006792,1.232231810134115,10.392304845413264,-1.0,8.987600099977499,1.0,0.24663192,3.8405094,-1.0,-1.0,0.8207222,28.22673,34.40930106817051
-158.80238,11,-53.65277,31.242662,-0.9445454545454546,-126.04807095487811,-12.612789,-2.5459538,120,0.5153458,-96.89322,-1.0,2.8923988,1.4860466,-65.54367238283157,31.024672,18.483072315264142,29.732137494637012,-1.0,-0.04844784,0.22108588,8.273776848000125,-63.46714,5.41157358795084,18.040651539302296,-157.47173,6.007472413571505,1.7445556,0.53652775,-3.4960826387413766,-62.87761,0.8866008103365555,-159.82954,1379.7422956148912,0.36709303,1.0737582e-05,-63.58423,-0.023556314,-0.0,142.7648410000129,21.569155,0.0,12000,-0.04370979830335771,1.4860466,-1.260480709548781,0.03335072705466843,1.4961833989832245,159.01899253500233,5.9377635e-07,0.16499386886299242,-1.0,6.468411441994417,31.024092,-165.9424564052543,-1.0,0.44688199331939993,1.0,4.666291,-0.53652775,0.22886532905395526,1.0,-4.666291,28.01079225252887,0.0,0.93991786,1.7445556,0.17281021,23.17338,-2.131946,0.0,-0.0,61.54429,32004,0.0,0.8712227546828119,10,0.36709303,0.39108922082029807,1.4781018990274062,-53.65277,-2.3346148,5.5013762863938105,10.392304845413264,-1.0,7.9803746869893075,1.0,0.22647493,2.0745785,-1.0,-1.0,0.78895026,13.74457,34.40930106817051
-137.81409,12,-62.7224,25.662815,-1.0,-150.71455712970823,-30.799149,-1.7068281,130,0.5326359,-82.126,-1.0,4.17015,1.7838833,-88.7741009410361,25.575287,19.360207137509672,30.199337741083,-1.0,-0.08284273,0.19157043,6.7343412449990865,-65.221985,4.641768623742029,20.29320571878713,-137.46815,5.430250940232498,1.8411014,0.62722397,-3.7350130037664258,-65.29083,0.6102895594015528,-140.36375,1531.6434422768798,0.34405026,0.000392274,-65.38729,-0.021415554,-0.19928734,137.69297610899048,34.972572,-1.0,13000,0.00047264268133537436,1.7838835,-1.5071455712970818,0.13742350382295856,0.43201702513489476,152.46268002898978,1.2995224e-07,0.21719339596530107,-1.0,4.990206938729982,25.565945,-217.28208127018704,-1.0,0.6560060961099119,1.0,3.8242774,-0.62722397,0.0,1.0,-3.8242774,49.146078464344676,0.19928734,0.8202285,1.8411014,0.22687988,15.055318,-1.8932725,12.649110640673518,-0.15214799344539642,63.40416,36004,0.0,0.5475413723639252,10,0.34405026,0.4196933172147515,0.2663558525690741,-62.7224,-1.8145615,1.2082957269310726,12.649110640673518,-1.0,8.035362675000215,1.0,0.18895257,4.974704,-1.0,-1.0,0.79299515,43.266384,34.40930106817051
-195.93059,13,-42.221207,34.94617,-0.8709090909090909,-112.74723898279146,-28.219969,-1.3192333,140,0.4107196,-61.07089,-1.0,3.2106533,1.8401357,-65.3037932664156,34.907864,14.515125534716457,20.784609690826528,-1.0,0.051169116,0.14416021,6.1824495420005405,-72.70801,4.11673345600439,15.058206386298771,-195.88165,5.939892797006539,1.6445172,0.42221218,-3.7258624235657765,-72.73484,0.38458077549088393,-195.90004,1689.0652488818505,0.30716822,7.4140485e-07,-72.59212,-0.0043786922,-0.0,141.90048290299274,22.872026,0.0,14000,-0.04710460497577067,1.8401356,-1.1274723898279149,0.020705747630102064,0.4780214236384684,156.2831872449715,0.0004741198,0.08837514109079987,-1.0,4.446598543769048,34.685093,-150.26488558352352,-1.0,0.46592718066151545,1.0,3.8502617,-0.42221218,0.335300531286474,1.0,-3.850262,23.963616413235698,0.0,0.62625206,1.6445172,0.18074244,9.895613,-1.4345016,0.0,-0.14792770147323608,70.82942,40004,0.4453617714151233,0.3297819280264909,10,0.30716825,0.3784632125081658,0.22788275861192114,-42.221207,-1.4093481,0.8860358271761728,8.94427190999916,-1.0,8.200254799978211,1.0,0.18685018,2.8627157,0.0,-0.7272727272727273,0.8046073,16.975868,34.40930106817051
-214.9987,14,-50.834274,34.928905,-0.8809090909090909,-119.75236971530595,-14.690251,-1.335249,150,0.41730547,-101.32655,-1.0,3.1910603,1.9362798,-85.83335605062791,34.98303,15.286320286172252,24.331050121192877,-1.0,-0.0222136,0.22814573,7.31568411400076,-71.18265,4.528822174735594,16.348621721872497,-216.68903,7.199492575411063,1.731249,0.5083428,-3.8567432053434083,-70.97771,0.46029935659599386,-214.82863,1858.3311936898408,0.44077048,4.9588794e-05,-70.66159,-0.011840873,-0.0,152.21563225602222,23.20181,0.0,15000,-0.03470461773966176,1.9362798,-1.1975236971530596,0.012404934108128547,0.546257883948725,168.45357807699293,0.0007644631,0.06093920151736254,-1.0,5.149300444511466,35.240753,-147.32181881004138,-1.0,0.4753835675910291,1.0,4.5648556,-0.5083428,0.3238954529826097,1.0,-4.5648556,20.321321872517824,0.0,0.9290194,1.7312491,0.099200755,22.614185,-0.8645168,0.0,-0.2597850423629887,69.74269,44004,0.385694607919935,0.3712831793677907,10,0.44077048,0.33332001936745953,0.2587971198793743,-50.834274,-0.788852,0.9177022069810168,8.94427190999916,-1.0,8.922261706969948,1.0,0.19024378,3.4108431,0.0,-0.8181818181818182,0.81824654,21.781458,34.40930106817051
-197.90239,15,-60.221436,30.712765,-0.8390909090909091,-109.70199500183836,-9.402862,-14.183462,160,0.6340748,-234.42023,-1.0,3.1204607,1.6685554,-76.16735418880823,30.81585,14.585057167309289,20.8806130178211,-1.0,-0.07428725,0.77430433,8.13052734700068,-71.646645,5.393912239228747,14.932801685447654,-199.05765,6.004264067205774,1.5763593,0.60221434,-4.889225998044625,-71.69951,0.3958848587978021,-197.93245,2031.1977762258412,0.7257543,0.0009930826,-71.090225,-0.013940549,-0.0,154.95787185702466,25.834177,0.0,16000,-0.02290438348261568,1.6685554,-1.0970199500183835,0.003952963103612099,0.5270009864516283,172.63682112899733,2.1944055e-05,0.059829965550856685,-1.0,5.324435711065879,30.78993,-156.65399059749342,-1.0,0.4446781297957725,1.0,4.303104,-0.60221434,0.3674470783281598,1.0,-4.303104,25.984591369300222,0.0,2.9776394,1.576359,0.0,58.41953,-14.416896,0.0,-0.0,70.800064,48004,0.28747978728803447,0.3454245398067221,10,0.7257543,0.34064515384688476,0.21913178636066008,-60.221436,-14.556159,0.891272209425403,0.0,-1.0,9.54842192497199,1.0,0.33344913,2.5203753,0.0,-0.9090909090909091,0.77887136,17.496584,34.40930106817051
-217.91803,16,-50.75416,36.361763,-0.88,-109.54436963897497,-20.855679,-8.671229,170,0.44005737,-154.32213,-1.0,1.7809696,1.1288542,-76.6582466901809,36.25645,14.367656219324827,23.2379000772445,-1.0,0.018085629,0.34088022,8.358367646998886,-77.5432,3.26517439874285,14.686044039845584,-219.21687,5.199091940989332,1.1488248,0.5075416,-4.512426891503331,-77.6287,0.33832796569476076,-218.31369,2190.6551586008627,0.56620264,7.538148e-05,-77.52138,0.007647794,-0.0,143.8658643519957,8.832603,0.0,17000,0.014604648123216378,1.1288542,-1.0954436963897496,0.06297931099340444,0.4348762669208791,160.63315482601865,1.6660488e-05,0.11244063957347057,-1.0,5.062888279672317,36.400208,-161.16771302434734,-1.0,0.41638189457929947,1.0,4.6958833,-0.5075416,0.32496153618543844,1.0,-4.6958838,27.492341087458534,0.0,1.4148313,1.1488248,0.116748795,35.743805,-8.591773,0.0,-0.1004047691822052,76.011986,52004,0.0,0.27556290415260676,10,0.5662027,0.47567735604352573,0.1394602954145475,-50.75416,-8.8165865,0.6687040860524627,10.392304845413264,-1.0,8.408922827024071,1.0,0.2942077,2.3474054,-1.0,-1.0,0.8050947,18.914356,34.40930106817051
