train/epoch,train/Log Prob,debug/MSE of random decoding Min,debug/MSE improvement over random Std,debug/MSE of random decoding Mean,test/loss,train/KL,debug/MSE of reconstruction,debug/MSE improvement over random Mean,train/loss,debug/MSE of random decoding Std,debug/MSE of random decoding Max,debug/MSE improvement over random Max,test/KL,beta,debug/MSE improvement over random Min,test/Log Prob
0,-6851.596879882813,7.2551245e-08,0.020995654,0.059333034,2737.757861328125,24.15464528083801,0.01904273,0.040290304,7093.143347167968,0.07913087,0.90391004,0.0720295,10.282748794555664,10.0,0.006306296,-2634.9303466796873
1,-2334.6749975585935,3.5527137e-11,0.012460768,0.051066715,2353.2812744140624,8.18903944015503,0.027513007,0.023553707,2416.5653857421876,0.11508612,0.971118,0.038090333,6.521109485626221,10.0,0.000979552,-2288.0701416015627
2,-2231.936416015625,3.5527137e-13,0.01121903,0.039516788,2305.594091796875,5.9675660943984985,0.026218468,0.013298314,2291.61208984375,0.12285604,0.90388465,0.030796343,5.595004653930664,10.0,-3.0789524e-06,-2249.64404296875
3,-2208.0474291992186,0.0,0.0064292727,0.034510966,2208.4354248046875,5.068132328987121,0.02681456,0.0076964083,2258.728742675781,0.1336694,0.9652457,0.018368265,3.8814854860305785,10.0,-4.7316775e-05,-2169.6205810546876
4,-2144.710831298828,0.0,0.0026871848,0.029931631,3173.12626953125,5.369556798934936,0.023080757,0.0068508545,2198.40640625,0.15574518,0.9930232,0.01163839,83.74264526367188,10.0,-4.3746084e-05,-2335.6998046875
5,-1848.6346740722656,0.0,0.0013301859,0.028360844,27432.1169921875,9.653154931068421,0.03497057,-0.006609738,1945.1662231445312,0.15590486,0.99661684,-0.0040803514,2463.49921875,10.0,-0.008911885,-2797.1245361328124
6,-1656.1966235351563,0.0,0.003950424,0.031508,4849.81416015625,10.564619903564454,0.036584526,-0.0050765374,1761.8428234863281,0.16115466,0.999974,0.008108243,193.32965850830078,10.0,-0.011885371,-2916.5176513671877
7,-1545.5538244628906,0.0,0.009512129,0.03481938,4118.44462890625,10.349564332962036,0.038273554,-0.0034541867,1649.0494677734375,0.16337448,0.99999595,0.025834907,85.58251571655273,10.0,-0.013707457,-3262.619482421875
8,-1478.8566235351564,0.0,0.007796869,0.020614041,3692.692333984375,10.493963632583618,0.011764777,0.008849254,1583.7962585449218,0.12218266,1.0,0.04177178,36.056784057617186,10.0,0.003485255,-3332.1244873046876
9,-1310.2364770507813,0.0,0.0077357967,0.02191954,2684.620849609375,11.196091051101684,0.02251964,-0.0006001043,1422.1973864746094,0.12443964,1.0,0.027419694,20.672717094421387,10.0,-0.008628055,-2477.89365234375
10,-867.7577398681641,0.0,0.010166189,0.039598092,7919.942138671875,13.05279375076294,0.040384255,-0.00078617595,998.2856768798828,0.17876425,1.0,0.036370173,37.931697845458984,10.0,-0.015612874,-7540.625146484375
11,-652.5897906494141,0.0,0.010865954,0.03884115,3527.848095703125,13.553115644454955,0.015734365,0.023106769,788.1209497070313,0.17780693,1.0,0.060572848,14.687636184692384,10.0,-0.0031926855,-3380.9717529296877
12,-533.8679809570312,0.0,0.0071308906,0.042909175,1800.517333984375,13.780319366455078,0.0066566654,0.036252506,671.6711755371093,0.18863128,1.0,0.054525375,15.47310905456543,10.0,0.021944914,-1645.7862670898437
13,-477.0299530029297,0.0,0.0072937845,0.040462263,6099.28544921875,13.831945066452027,0.028025834,0.012436425,615.3494018554687,0.18277404,1.0,0.02866217,17.025476264953614,10.0,-0.012450206,-5929.030712890625
14,-415.64348175048826,0.0,0.008119287,0.02910125,9741.37685546875,13.937598848342896,0.0072405306,0.021860715,555.0194729614258,0.15451322,1.0,0.041952398,20.49516487121582,10.0,0.007034277,-9536.42509765625
15,-399.73969024658203,0.0,0.0076759006,0.03718909,8581.93935546875,13.998801984786986,0.0097974725,0.027391624,539.7277084350586,0.17665137,1.0,0.046762373,17.3923095703125,10.0,0.0098018795,-8408.016357421875
16,-363.4554382324219,0.0,0.009193247,0.042628124,10200.87509765625,13.902065343856812,0.04911881,-0.0064906906,502.4760922241211,0.19084144,1.0,0.014462076,21.335705757141113,10.0,-0.03474299,-9987.5181640625
17,-342.2900650024414,0.0,0.0074189594,0.04465514,10454.43564453125,13.907580289840698,0.05002527,-0.0053701354,481.3658697509766,0.1963763,1.0,0.008789867,22.31943283081055,10.0,-0.021886664,-10231.2412109375
18,-324.3841720581055,0.0,0.011139858,0.04443185,4681.2603515625,13.862429637908935,0.05058217,-0.006150333,463.00846893310546,0.19625829,1.0,0.009750683,15.87411060333252,10.0,-0.042746052,-4522.519213867187
19,-303.3360771179199,0.0,0.009133143,0.045402583,8819.69541015625,13.875253076553344,0.0127344625,0.032668136,442.08860961914064,0.19912417,1.0,0.04800259,16.11726007461548,10.0,0.009307562,-8658.522900390624
20,-297.23017639160156,0.0,0.008579757,0.030583266,9840.31279296875,13.852049884796143,0.009193617,0.021389648,435.75067657470703,0.16225491,1.0,0.036482662,18.16930980682373,10.0,0.004883671,-9658.61982421875
21,-309.787472076416,0.0,0.008427763,0.042479955,859.6587707519532,13.782639627456666,0.0034546722,0.039025284,447.6138674926758,0.19228628,1.0,0.058345214,14.842676544189453,10.0,0.010166081,-711.2320007324219
22,-285.6473515319824,0.0,0.012775291,0.03981478,392.13115234375,13.72712308883667,0.0027365603,0.037078217,422.91858367919923,0.18710285,1.0,0.0552666,14.877451133728027,10.0,0.0034814596,-243.3566421508789
23,-275.90517333984377,0.0,0.0095551135,0.0380357,8378.560107421876,13.726708765029906,0.0056553283,0.032380372,413.17226257324216,0.18212807,1.0,0.051505294,17.968788719177248,10.0,0.013912231,-8198.872265625
24,-274.1542488098145,0.0,0.010413857,0.04361039,10741.8712890625,13.69520354270935,0.034555346,0.009055055,411.10628631591794,0.19620445,1.0,0.025629371,19.236242866516115,10.0,-0.022971066,-10549.5087890625
25,-261.695364074707,0.0,0.009175681,0.04411846,10541.29716796875,13.653453683853149,0.04452733,-0.0004088667,398.22990142822266,0.19706625,1.0,0.017339136,17.54719591140747,10.0,-0.02861065,-10365.82529296875
26,-260.2727407836914,0.0,0.009757736,0.046320114,10357.38818359375,13.666150121688842,0.054120537,-0.0078004235,396.9342431640625,0.20297866,1.0,0.011622455,16.858635997772218,10.0,-0.026135245,-10188.80185546875
27,-251.21576217651366,0.0,0.010208036,0.043585077,2297.8954223632813,13.583099184036255,0.036131404,0.007453675,387.0467517089844,0.19634879,1.0,0.022843227,14.031713962554932,10.0,-0.03333711,-2157.5783081054688
28,-258.802794342041,0.0,0.007794055,0.04417405,10488.63095703125,13.63845362663269,0.017031789,0.02714226,395.18733001708983,0.198001,1.0,0.04053115,18.205320358276367,10.0,0.010978643,-10306.57783203125
29,-260.30274642944335,0.0,0.008531603,0.041919086,9116.555810546875,13.645793628692626,0.04594658,-0.004027497,396.7606848144531,0.19210985,1.0,0.014672209,17.27400779724121,10.0,-0.022988398,-8943.815869140624
30,-231.8223793029785,0.0,0.008181172,0.04689728,11827.923046875,13.557596836090088,0.021194255,0.025703032,367.3983462524414,0.20367844,1.0,0.041449867,20.019345092773438,10.0,0.0074579455,-11627.72958984375
31,-223.79231872558594,0.0,0.008697856,0.04691467,1420.5432006835938,13.534905328750611,0.010317861,0.036596797,359.14136993408204,0.20433807,1.0,0.051185653,13.626190185546875,10.0,0.012721778,-1284.2812866210938
32,-238.79747650146484,0.0,0.01120615,0.04412354,8506.14482421875,13.552171983718871,0.048253402,-0.004129841,374.3191961669922,0.19825816,1.0,0.023509204,14.579308795928956,10.0,-0.04306251,-8360.351611328126
33,-225.96482131958007,0.0,0.008741995,0.043297105,770.5200866699219,13.495773134231568,0.02307656,0.020220552,360.9225521850586,0.19669084,1.0,0.03514698,15.135144996643067,10.0,0.0024336502,-619.1686340332031
34,-213.16032791137695,0.0,0.010692694,0.047034476,9507.47138671875,13.489279594421387,0.012765137,0.03426934,348.05312408447264,0.20449929,1.0,0.06571609,15.870184421539307,10.0,0.014784561,-9348.76953125
35,-233.21516860961913,0.0,0.012613934,0.041563928,5761.130322265625,13.440890111923217,0.051576514,-0.010012569,367.62406982421874,0.19231486,1.0,0.014242899,14.117024993896484,10.0,-0.04578087,-5619.960009765625
36,-217.6986668395996,0.0,0.0118436795,0.04345385,2685.714501953125,13.437602376937866,0.018574812,0.024879033,352.0746908569336,0.19666733,1.0,0.045751788,12.832898139953613,10.0,-0.010646413,-2557.3855224609374
37,-219.38078567504883,0.0,0.011313387,0.044170592,3218.8544189453123,13.3788631439209,0.02614381,0.018026777,353.16941619873046,0.19869407,1.0,0.042706013,12.945594596862794,10.0,-0.014926367,-3089.3984619140624
38,-210.83739456176758,0.0,0.010205444,0.044024084,6688.66240234375,13.346112022399902,0.0142522715,0.029771792,344.29851318359374,0.19807862,1.0,0.046765912,13.743531036376954,10.0,0.00072275754,-6551.22705078125
39,-197.9573355102539,0.0,0.008941641,0.049558915,6434.824072265625,13.337431011199952,0.024577957,0.024980955,331.33164459228516,0.2101972,1.0,0.060644086,15.404491996765136,10.0,0.0045387167,-6280.779150390625
40,-194.25212692260743,0.0,0.009526737,0.043921206,2677.964208984375,13.336762924194336,0.024081938,0.019839268,327.61975555419923,0.19883467,1.0,0.033651207,12.486408138275147,10.0,-0.008817108,-2553.1001220703124
41,-211.6663397216797,0.0,0.012087666,0.041838165,639.26611328125,13.259333543777466,0.007597054,0.034241118,344.2596774291992,0.1944018,1.0,0.058370564,15.061105155944825,10.0,-0.0021463754,-488.6550689697266
42,-187.83891159057617,0.0,0.007983115,0.030890323,10732.442578125,13.295245914459228,0.002313547,0.028576784,320.7913690185547,0.16523698,1.0,0.041776516,16.46806135177612,10.0,0.01166991,-10567.762109375
43,-196.38096282958983,0.0,0.009727495,0.04659476,10162.25693359375,13.179066152572632,0.052020587,-0.005425814,328.17162445068357,0.2045385,1.0,0.011234902,16.111859798431396,10.0,-0.03315416,-10001.1384765625
44,-179.99759262084962,0.0,0.010033995,0.043192163,2852.5805419921876,13.159009370803833,0.0039865384,0.039205626,311.58768463134766,0.19733709,1.0,0.057207372,14.610722160339355,10.0,0.0063095223,-2706.4733276367188
45,-181.03024353027342,0.0,0.009232,0.044609543,10385.8767578125,13.107934064865113,0.05369436,-0.009084821,312.10958282470705,0.2003083,1.0,0.010874219,16.232874393463135,10.0,-0.031137178,-10223.5478515625
46,-189.1329510498047,0.0,0.008595857,0.039816666,10711.367578125,13.056545391082764,0.027346056,0.012470616,319.69840576171873,0.18889524,1.0,0.029309541,15.820439434051513,10.0,-0.003787823,-10553.16318359375
47,-176.89402069091796,0.0,0.007903827,0.044456948,11369.7728515625,13.033837633132935,0.052468564,-0.008011613,307.2323962402344,0.20017537,1.0,0.00560499,16.728920555114748,10.0,-0.02442972,-11202.4837890625
48,-176.86792449951173,0.0,0.007629851,0.031211628,6650.0974609375,12.997213621139526,0.014723592,0.01648803,306.8400601196289,0.16658585,1.0,0.030286882,14.472139930725097,10.0,0.0015250472,-6505.37607421875
49,-174.08994979858397,0.0,0.008811282,0.045625508,10864.9771484375,12.986013536453248,0.052834347,-0.0072088335,303.95008392333983,0.20265035,1.0,0.00655929,16.041148471832276,10.0,-0.024726106,-10704.565625
50,-167.8393395996094,0.0,0.008747904,0.044055015,2138.986926269531,12.98003553390503,0.0010359939,0.04301902,297.63969482421874,0.19942187,1.0,0.058603488,14.164677333831786,10.0,0.024525294,-1997.34013671875
51,-165.6733999633789,0.0,0.008741305,0.032893274,8982.78935546875,12.955767736434936,0.02157272,0.011320552,295.2310772705078,0.1724102,1.0,0.025634926,14.626324558258057,10.0,-0.012170218,-8836.526123046875
52,-168.63088958740235,0.0,0.008868169,0.04462071,11453.5943359375,12.963597593307496,0.047855016,-0.003234302,298.2668664550781,0.20013478,1.0,0.009915251,16.525204467773438,10.0,-0.030090177,-11288.3421875
53,-160.2654800415039,0.0,0.009949932,0.043387927,349.4096343994141,12.94262438774109,0.0023893262,0.040998608,289.6917251586914,0.19808191,1.0,0.054639462,13.791266059875488,10.0,0.010857424,-211.4969711303711
54,-168.09917922973634,0.0,0.008337237,0.03786474,11923.9216796875,12.896974906921386,0.0022311548,0.03563358,297.06893035888675,0.18492237,1.0,0.05081933,16.25358486175537,10.0,0.017249426,-11761.38564453125
55,-157.6655842590332,0.0,0.010649839,0.045654483,7315.734521484375,12.926224517822266,0.008033667,0.037620813,286.9278317260742,0.20359,1.0,0.051811475,14.387358856201171,10.0,0.0022748122,-7171.860888671875
56,-155.5381053161621,0.0,0.00981612,0.041726902,1393.7601440429687,12.872531671524047,0.0035168324,0.03821007,284.263420715332,0.19395489,1.0,0.05172068,13.626532936096192,10.0,0.0067078844,-1257.49482421875
57,-155.4464256286621,0.0,0.008120218,0.043284934,5115.166015625,12.87736629486084,0.0513548,-0.0080698645,284.2200883483887,0.19783255,1.0,0.004199557,13.346549797058106,10.0,-0.028426418,-4981.7005615234375
58,-156.50949401855468,0.0,0.008129907,0.042342264,11226.793359375,12.851754217147827,0.048567105,-0.0062248325,285.02703735351565,0.19582121,1.0,0.015325319,14.895616912841797,10.0,-0.025649607,-11077.8373046875
59,-151.85873641967774,0.0,0.007659748,0.046194848,12306.50888671875,12.815742712020874,0.036637194,0.009557655,280.01616302490237,0.20478833,1.0,0.024178594,15.554533958435059,10.0,-0.008167729,-12150.9634765625
60,-152.4779030609131,0.0,0.009376012,0.043676935,7528.53173828125,12.83320369720459,0.05015228,-0.0064753415,280.80994110107423,0.19884373,1.0,0.007946957,14.507934474945069,10.0,-0.039864834,-7383.45234375
61,-148.64087120056152,0.0,0.008384235,0.042049505,624.5040466308594,12.833611316680908,0.004166106,0.037883382,276.97698348999023,0.19556132,1.0,0.048953913,13.365522289276123,10.0,0.0075298133,-490.848828125
62,-147.50257263183593,0.0,0.010161924,0.044389367,1323.7730224609375,12.806494569778442,0.009306038,0.03508332,275.56752014160156,0.20104697,1.0,0.04934162,12.42584295272827,10.0,0.005387989,-1199.514599609375
63,-151.70825729370117,0.0,0.008564392,0.040477935,3798.806689453125,12.768666534423827,0.008288918,0.032189004,279.39491973876954,0.19232234,1.0,0.045038633,13.125160121917725,10.0,0.014574626,-3667.555126953125
64,-144.9402741241455,0.0,0.007872776,0.045096815,628.8365112304688,12.730242738723755,0.0032572383,0.041839566,272.2427017211914,0.20194933,1.0,0.05306187,13.281713485717773,10.0,0.024282962,-496.0193756103516
65,-151.01365394592284,0.0,0.0084343655,0.044793054,2267.87646484375,12.767460498809815,0.008155783,0.036637273,278.68825897216794,0.20178571,1.0,0.053390395,14.010102844238281,10.0,0.0139675485,-2127.775439453125
66,-142.22698234558106,0.0,0.008429686,0.043978643,8317.71484375,12.744879388809204,0.016501395,0.027477259,269.67577758789065,0.19997336,1.0,0.039815716,13.982638931274414,10.0,0.008128392,-8177.888427734375
67,-140.27821922302246,0.0,0.008700907,0.03218257,12035.36259765625,12.70850733757019,0.03728758,-0.005105012,267.3632925415039,0.17040868,1.0,0.012704905,14.76778802871704,10.0,-0.023116723,-11887.68486328125
68,-139.46004371643068,0.0,0.0075335777,0.04037332,385.4928283691406,12.729979276657104,0.006076726,0.034296595,266.75983673095703,0.19166398,1.0,0.049587842,13.422313690185547,10.0,0.016791519,-251.26969146728516
69,-136.64275177001954,0.0,0.008913946,0.0449918,11636.50830078125,12.662349510192872,0.041548964,0.0034428225,263.26624572753906,0.20283383,1.0,0.01441576,13.42398738861084,10.0,-0.03190432,-11502.26845703125
70,-134.9091837310791,0.0,0.007503056,0.030754764,1600.0621826171875,12.74461630821228,0.001023144,0.02973162,262.35534561157226,0.16650979,1.0,0.04129169,13.763271236419678,10.0,0.013275882,-1462.4294555664062
71,-133.26145133972167,0.0,0.008410371,0.044663463,14255.965625,12.64940294265747,0.00853495,0.036128517,259.7554795837402,0.20194435,1.0,0.049938805,14.45495433807373,10.0,0.01949595,-14111.4162109375
72,-135.3323307800293,0.0,0.010117963,0.04364572,16024.946484375,12.623211317062378,0.031695902,0.011949809,261.56444366455077,0.19934411,1.0,0.028815538,14.826414585113525,10.0,-0.017052123,-15876.68232421875
73,-133.92187881469727,0.0,0.0089095775,0.044773452,16514.42265625,12.636262817382812,0.018477418,0.02629603,260.2845080566406,0.20174606,1.0,0.04498916,14.379798221588135,10.0,0.0045464076,-16370.6244140625
